Name,Team,Nationality,Date of Birth,Age,Position,Shirt Number,Player Value,Strengths,Weaknesses,Total played,Started,Minutes per game,Team of the week,Goals conceded per game,Penalties saved,Saves per game,Succ. runs out per game,Goals conceded,Conceded from inside box,Conceded from outside box,Saves made,Saves from inside box,Saves from outside box,Saves caught,Saves parried,Assists,Touches,Big chances created,Key passes,Accurate per game,Acc. own half,Acc. opposition half,Acc. long balls,Acc. chipped passes,Acc. crosses,Clean sheets,Interceptions per game,Tackles per game,Possession won,Balls recovered per game,Dribbled past per game,Clearances per game,Error led to shot,Error led to goal,Penalties committed,Succ. dribbles,Total duels won,Ground duels won,Aerial duels won,Possession lost,Fouls,Was fouled,Offsides,Goal kicks per game,Yellow,Yellow-Red,Red cards,Height (cm),Preferred Foot
Omer Katz,Hapoel Petach Tikva,ISR,21/04/1998,26,G,1," € 170,000 ","High claims, Reflexes",No outstanding weaknesses,21,21,90,2,1.4,1/6,3.8 (72%),0.4 (100%),30,25,5,79,50,29,0,14,0,39.6,0,0,18.7 (64%),14.4 (88%),4.3 (33%),6.7 (38%),1.8 (56%),0.0 (0%),5,0,0.1,0,9.6,0,1,1,1,0,0.0 (100%),0.7 (93%),0.1 (75%),0.5 (100%),10.9,0,0.1,0,9.4,2,0,0,,
Raz Karmi,Hapoel Petach Tikva,ISR,27/01/1996,28,G,25," € 185,000 ",No outstanding strengths,No outstanding weaknesses,13,13,90,0,1.6,1/3,2.9 (64%),1.2 (94%),21,19,2,38,26,12,0,8,0,39.4,0,0,21.8 (73%),19.2 (88%),2.6 (32%),4.9 (38%),1.8 (45%),0.0 (0%),2,0,0.1,0,8.3,0.1,1.5,0,2,1,0.1 (100%),1.1 (78%),0.6 (80%),0.5 (75%),8.2,0.1,0.5,0,6.8,1,0,0,188,Right
Ohad Levita,Hapoel Hadera,ISR,17/02/1986,38,G,21," € 91,000 ",No outstanding strengths,No outstanding weaknesses,13,13,87,2,1.3,1/3,3.2 (71%),0.2 (100%),17,15,2,41,26,14,0,14,0,32.7,0,0,14.7 (62%),12.1 (87%),2.6 (27%),5.2 (37%),1.7 (58%),0.0 (0%),3,0,0,0,7.3,0,0.9,0,1,0,0.1 (100%),0.5 (100%),0.2 (100%),0.4 (100%),9,0,0.1,0,8.6,1,0,0,187,
Orlando Mosquera,Maccabi Tel Aviv,PAN,25/12/1994,29,G,25," € 365,000 ","Handling, Long shots saving, Reflexes",No outstanding weaknesses,9,9,90,1,0.7,1/1,2.7 (80%),0.2 (67%),6,5,1,24,11,13,0,6,0,36.4,0,0,19.7 (71%),17.9 (88%),1.8 (24%),4.8 (38%),1.9 (71%),0.0 (0%),3,0,0.1,0,7.8,0,0.7,0,0,0,0.0 (0%),0.3 (100%),0.2 (100%),0.1 (100%),8.1,0.1,0.1,0,4.7,0,0,0,191,Right
Miguel Silva,Beitar Jerusalem,POR,07/04/1995,29,G,55," € 290,000 ","Long shots saving, Consistency, High claims",No outstanding weaknesses,31,31,89,9,1.2,0/7,3.4 (74%),0.5 (100%),37,35,2,105,54,50,0,26,1,44.6,1,0.1,25.0 (74%),22.9 (91%),2.1 (25%),6.7 (45%),3.5 (65%),0.0 (0%),10,0,0,0,9.5,0.1,1.3,3,1,0,0.0 (0%),0.4 (76%),0.1 (33%),0.4 (100%),9,0,0,0,7.6,2,0,1,188,Right
Marco Wolff,Maccabi Petach Tikva,ARG,14/12/1996,27,G,34," € 160,000 ",No outstanding strengths,No outstanding weaknesses,18,18,90,0,1.5,0/2,2.9 (66%),1.5 (100%),27,23,4,53,32,20,1,13,0,36,0,0.1,18.1 (72%),15.8 (87%),2.3 (33%),3.8 (36%),1.1 (63%),0.0 (0%),5,0,0.1,0.1,9.1,0.1,1.9,2,0,0,0.0 (0%),0.8 (78%),0.2 (50%),0.6 (92%),7.3,0.1,0.1,0,6.7,4,0,0,190,Right
Roei Mashpati,Maccabi Tel Aviv,ISR,23/11/1992,31,G,90," € 195,000 ",Long shots saving,No outstanding weaknesses,26,26,90,1,0.7,0/2,2.8 (80%),0.2 (83%),19,17,2,74,41,32,0,18,0,32.8,0,0,16.2 (70%),15.0 (91%),1.3 (19%),2.9 (29%),0.8 (49%),0.0 (0%),12,0,0,0,7.3,0,0.9,0,0,0,0.0 (0%),0.5 (82%),0.0 (50%),0.5 (87%),7.2,0,0,0,6,1,0,0,186,Right
Omer Niron,Maccabi Netanya,ISR,17/04/2001,23,G,22," € 135,000 ",No outstanding strengths,No outstanding weaknesses,10,10,90,1,1.1,0/2,3.2 (74%),0.1 (100%),11,10,1,32,16,16,0,8,0,37.1,0,0,17.1 (65%),14.9 (87%),2.2 (24%),4.7 (34%),1.8 (51%),0.0 (0%),5,0,0.1,0,7.8,0,1,0,0,1,0.0 (0%),0.4 (80%),0.1 (50%),0.3 (100%),9.6,0.1,0,0,7.4,2,0,0,195,Right
Tomer Zarfati,Maccabi Netanya,ISR,16/10/2003,20,G,18," € 70,000 ",No outstanding strengths,No outstanding weaknesses,15,15,90,0,1.7,0/3,1.9 (54%),0.4 (100%),25,20,5,29,17,10,0,4,0,36.7,0,0,21.5 (76%),20.1 (93%),1.3 (20%),3.2 (32%),0.9 (35%),0.0 (0%),1,0.1,0,0,9.5,0,0.4,0,0,1,0.0 (0%),0.3 (83%),0.1 (67%),0.2 (100%),6.9,0.1,0.1,0,7.2,2,0,0,185,Right
Robi Levkovich,Maccabi Petach Tikva,ISR,31/08/1988,35,G,55," € 195,000 ",No outstanding strengths,No outstanding weaknesses,15,15,90,0,2,0/1,3.5 (64%),0.1 (100%),30,23,7,53,36,16,0,13,0,37.5,0,0,16.9 (62%),12.4 (85%),4.5 (36%),7.7 (43%),2.7 (52%),0.0 (0%),2,0.1,0,0,8.6,0.1,0.8,2,1,0,0.0 (0%),0.3 (57%),0.0 (0%),0.3 (80%),10.5,0,0.1,0,10.5,2,0,0,184,Right
